__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778157013.671644,,,,1778157013.671461105,-1.603833582,0.146419328,-0.011811150,0.035111820
1778157013.672585,0.158545358,0.066846365,0.000000000,,,,,
1778157013.672607,,,,1778157013.672425032,-1.603694984,0.146569251,-0.011777888,0.035175031
1778157013.673587,0.157434640,0.066561662,0.000000000,,,,,
1778157013.673611,,,,1778157013.673428297,-1.603548187,0.146726761,-0.011742629,0.035241624
1778157013.674642,0.156258967,0.066260097,0.000000000,,,,,
1778157013.674792,,,,1778157013.674433470,-1.603400580,0.146883790,-0.011707147,0.035308211
1778157013.675567,0.155077581,0.065956867,0.000000000,,,,,
1778157013.675591,,,,1778157013.675409079,-1.603253410,0.147039005,-0.011671741,0.035374226
1778157013.676566,0.153900479,0.065654541,0.000000000,,,,,
1778157013.676589,,,,1778157013.676407337,-1.603107031,0.147192056,-0.011636498,0.035439518
1778157013.677565,0.152730477,0.065353845,0.000000000,,,,,
1778157013.677587,,,,1778157013.677402735,-1.602960398,0.147344049,-0.011601164,0.035504557
1778157013.678549,0.151559212,0.065052631,0.000000000,,,,,
1778157013.678570,,,,1778157013.678365946,-1.602818692,0.147489665,-0.011566992,0.035567058
1778157013.679566,0.150428037,0.064761554,0.000000000,,,,,
1778157013.679598,,,,1778157013.679406881,-1.602665360,0.147645886,-0.011529985,0.035634314
1778157013.680617,0.149204839,0.064446565,0.000000000,,,,,
1778157013.680650,,,,1778157013.680426359,-1.602520379,0.147792253,-0.011494967,0.035697535
1778157013.681515,0.148049042,0.064148761,0.000000000,,,,,
1778157013.681538,,,,1778157013.681337595,-1.602377166,0.147935576,-0.011460349,0.035759636
1778157013.682569,0.146908065,0.063854596,0.000000000,,,,,
1778157013.682628,,,,1778157013.682399035,-1.602223394,0.148088123,-0.011423148,0.035825941
1778157013.683551,0.145683751,0.063538715,0.000000000,,,,,
1778157013.683573,,,,1778157013.683406115,-1.602076897,0.148232101,-0.011387679,0.035888736
1778157013.684523,0.144518142,0.063237805,0.000000000,,,,,
1778157013.684557,,,,1778157013.684368849,-1.601930537,0.148374657,-0.011352216,0.035951115
1778157013.685557,0.143354369,0.062937181,0.000000000,,,,,
1778157013.685580,,,,1778157013.685408115,-1.601777167,0.148522690,-0.011315025,0.036016106
1778157013.686497,0.142135644,0.062622142,0.000000000,,,,,
1778157013.686537,,,,1778157013.686349630,-1.601634268,0.148659318,-0.011280346,0.036076302
1778157013.687522,0.141000869,0.062328646,0.000000000,,,,,
1778157013.687544,,,,1778157013.687369108,-1.601482093,0.148803513,-0.011243387,0.036140043
1778157013.688545,0.139793197,0.062016076,0.000000000,,,,,
1778157013.688566,,,,1778157013.688392639,-1.601331852,0.148944523,-0.011206870,0.036202599
